Trafikkregistreringspunkt,Vegreferanse,Navn,Felt,Til,Dato,Dag,Måned,Fra tidspunkt,Til tidspunkt,Trafikkmengde,Gyldige passeringer,Dekningsgrad,Gjennomsnittshastighet,85-fraktil,Hour,DayOfWeek,IsWeekend,DayNumber,DayOfMonth,Season
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 13:00:00+00:00,2022-01-04,Tirsdag,Januar,13:00:00,14:00:00,18,18,0.0,75.9,86.7,13,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 14:00:00+00:00,2022-01-04,Tirsdag,Januar,14:00:00,15:00:00,40,40,1.0,75.9,81.4,14,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 15:00:00+00:00,2022-01-04,Tirsdag,Januar,15:00:00,16:00:00,52,52,1.0,74.2,84.7,15,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 16:00:00+00:00,2022-01-04,Tirsdag,Januar,16:00:00,17:00:00,46,46,1.0,75.9,87.2,16,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 17:00:00+00:00,2022-01-04,Tirsdag,Januar,17:00:00,18:00:00,43,42,1.0,74.7,85.5,17,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 18:00:00+00:00,2022-01-04,Tirsdag,Januar,18:00:00,19:00:00,36,36,1.0,72.7,80.4,18,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 19:00:00+00:00,2022-01-04,Tirsdag,Januar,19:00:00,20:00:00,37,37,1.0,76.1,80.1,19,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 20:00:00+00:00,2022-01-04,Tirsdag,Januar,20:00:00,21:00:00,15,15,1.0,70.8,82.7,20,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 21:00:00+00:00,2022-01-04,Tirsdag,Januar,21:00:00,22:00:00,15,15,1.0,75.2,83.4,21,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-04 22:00:00+00:00,2022-01-04,Tirsdag,Januar,22:00:00,23:00:00,12,12,1.0,77.7,88.4,22,1,0,4,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 05:00:00+00:00,2022-01-05,Onsdag,Januar,05:00:00,06:00:00,6,6,1.0,80.6,88.4,5,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 06:00:00+00:00,2022-01-05,Onsdag,Januar,06:00:00,07:00:00,13,13,1.0,78.7,85.8,6,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 07:00:00+00:00,2022-01-05,Onsdag,Januar,07:00:00,08:00:00,16,16,1.0,77.9,89.1,7,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 08:00:00+00:00,2022-01-05,Onsdag,Januar,08:00:00,09:00:00,25,25,1.0,80.1,87.7,8,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 09:00:00+00:00,2022-01-05,Onsdag,Januar,09:00:00,10:00:00,21,21,1.0,77.9,85.5,9,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 10:00:00+00:00,2022-01-05,Onsdag,Januar,10:00:00,11:00:00,25,25,1.0,73.3,79.5,10,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 11:00:00+00:00,2022-01-05,Onsdag,Januar,11:00:00,12:00:00,42,42,1.0,72.6,80.1,11,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 12:00:00+00:00,2022-01-05,Onsdag,Januar,12:00:00,13:00:00,40,40,1.0,75.5,84.1,12,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 13:00:00+00:00,2022-01-05,Onsdag,Januar,13:00:00,14:00:00,40,40,1.0,75.0,84.1,13,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 14:00:00+00:00,2022-01-05,Onsdag,Januar,14:00:00,15:00:00,42,42,1.0,71.6,80.1,14,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 15:00:00+00:00,2022-01-05,Onsdag,Januar,15:00:00,16:00:00,43,43,1.0,74.7,82.8,15,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 16:00:00+00:00,2022-01-05,Onsdag,Januar,16:00:00,17:00:00,66,66,1.0,74.9,90.3,16,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 17:00:00+00:00,2022-01-05,Onsdag,Januar,17:00:00,18:00:00,45,45,1.0,78.4,88.4,17,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 18:00:00+00:00,2022-01-05,Onsdag,Januar,18:00:00,19:00:00,39,39,1.0,77.3,87.4,18,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 19:00:00+00:00,2022-01-05,Onsdag,Januar,19:00:00,20:00:00,26,26,1.0,75.3,86.1,19,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 20:00:00+00:00,2022-01-05,Onsdag,Januar,20:00:00,21:00:00,25,25,1.0,76.1,82.7,20,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 21:00:00+00:00,2022-01-05,Onsdag,Januar,21:00:00,22:00:00,16,16,1.0,76.5,82.7,21,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 22:00:00+00:00,2022-01-05,Onsdag,Januar,22:00:00,23:00:00,9,9,1.0,77.6,85.1,22,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-05 23:00:00+00:00,2022-01-05,Onsdag,Januar,23:00:00,00:00:00,7,7,1.0,72.1,85.3,23,2,0,5,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 00:00:00+00:00,2022-01-06,Torsdag,Januar,00:00:00,01:00:00,5,5,1.0,66.7,95.2,0,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 06:00:00+00:00,2022-01-06,Torsdag,Januar,06:00:00,07:00:00,6,6,1.0,79.0,87.2,6,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 07:00:00+00:00,2022-01-06,Torsdag,Januar,07:00:00,08:00:00,18,18,1.0,82.4,91.0,7,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 08:00:00+00:00,2022-01-06,Torsdag,Januar,08:00:00,09:00:00,17,17,1.0,77.8,94.3,8,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 09:00:00+00:00,2022-01-06,Torsdag,Januar,09:00:00,10:00:00,33,33,1.0,73.3,79.0,9,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 10:00:00+00:00,2022-01-06,Torsdag,Januar,10:00:00,11:00:00,37,37,1.0,74.6,82.7,10,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 11:00:00+00:00,2022-01-06,Torsdag,Januar,11:00:00,12:00:00,37,37,1.0,73.6,80.1,11,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 12:00:00+00:00,2022-01-06,Torsdag,Januar,12:00:00,13:00:00,39,39,1.0,75.2,82.7,12,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 13:00:00+00:00,2022-01-06,Torsdag,Januar,13:00:00,14:00:00,45,45,1.0,73.4,81.4,13,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 14:00:00+00:00,2022-01-06,Torsdag,Januar,14:00:00,15:00:00,51,51,1.0,73.4,80.1,14,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 15:00:00+00:00,2022-01-06,Torsdag,Januar,15:00:00,16:00:00,47,47,1.0,78.6,88.2,15,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 16:00:00+00:00,2022-01-06,Torsdag,Januar,16:00:00,17:00:00,52,51,1.0,76.7,85.5,16,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 17:00:00+00:00,2022-01-06,Torsdag,Januar,17:00:00,18:00:00,66,66,1.0,75.8,85.5,17,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 18:00:00+00:00,2022-01-06,Torsdag,Januar,18:00:00,19:00:00,55,55,1.0,78.0,85.5,18,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 19:00:00+00:00,2022-01-06,Torsdag,Januar,19:00:00,20:00:00,49,49,1.0,76.3,85.5,19,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 20:00:00+00:00,2022-01-06,Torsdag,Januar,20:00:00,21:00:00,26,26,1.0,80.7,90.3,20,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 21:00:00+00:00,2022-01-06,Torsdag,Januar,21:00:00,22:00:00,19,19,1.0,75.8,86.4,21,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 22:00:00+00:00,2022-01-06,Torsdag,Januar,22:00:00,23:00:00,9,9,1.0,70.8,83.6,22,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-06 23:00:00+00:00,2022-01-06,Torsdag,Januar,23:00:00,00:00:00,10,10,1.0,77.2,91.6,23,3,0,6,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 01:00:00+00:00,2022-01-07,Fredag,Januar,01:00:00,02:00:00,5,5,1.0,82.2,90.8,1,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 02:00:00+00:00,2022-01-07,Fredag,Januar,02:00:00,03:00:00,0,0,1.0,74.0,,2,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 05:00:00+00:00,2022-01-07,Fredag,Januar,05:00:00,06:00:00,9,9,1.0,81.1,86.4,5,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 06:00:00+00:00,2022-01-07,Fredag,Januar,06:00:00,07:00:00,9,9,1.0,74.6,88.9,6,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 07:00:00+00:00,2022-01-07,Fredag,Januar,07:00:00,08:00:00,11,11,1.0,78.0,90.7,7,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 08:00:00+00:00,2022-01-07,Fredag,Januar,08:00:00,09:00:00,28,28,1.0,73.3,83.5,8,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 09:00:00+00:00,2022-01-07,Fredag,Januar,09:00:00,10:00:00,27,27,1.0,79.5,85.5,9,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 10:00:00+00:00,2022-01-07,Fredag,Januar,10:00:00,11:00:00,30,30,1.0,75.9,88.4,10,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 11:00:00+00:00,2022-01-07,Fredag,Januar,11:00:00,12:00:00,40,40,1.0,75.4,85.5,11,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 12:00:00+00:00,2022-01-07,Fredag,Januar,12:00:00,13:00:00,42,42,1.0,75.4,85.5,12,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 13:00:00+00:00,2022-01-07,Fredag,Januar,13:00:00,14:00:00,40,40,1.0,77.8,93.3,13,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 14:00:00+00:00,2022-01-07,Fredag,Januar,14:00:00,15:00:00,56,56,1.0,73.1,82.7,14,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 15:00:00+00:00,2022-01-07,Fredag,Januar,15:00:00,16:00:00,56,56,1.0,78.2,85.5,15,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 16:00:00+00:00,2022-01-07,Fredag,Januar,16:00:00,17:00:00,64,64,1.0,78.7,88.4,16,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 17:00:00+00:00,2022-01-07,Fredag,Januar,17:00:00,18:00:00,76,76,1.0,79.7,88.4,17,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 18:00:00+00:00,2022-01-07,Fredag,Januar,18:00:00,19:00:00,99,99,1.0,79.8,88.4,18,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 19:00:00+00:00,2022-01-07,Fredag,Januar,19:00:00,20:00:00,68,68,1.0,80.8,88.4,19,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 20:00:00+00:00,2022-01-07,Fredag,Januar,20:00:00,21:00:00,59,59,1.0,78.6,91.6,20,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 21:00:00+00:00,2022-01-07,Fredag,Januar,21:00:00,22:00:00,35,35,1.0,78.4,92.4,21,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 22:00:00+00:00,2022-01-07,Fredag,Januar,22:00:00,23:00:00,12,12,1.0,79.0,83.9,22,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-07 23:00:00+00:00,2022-01-07,Fredag,Januar,23:00:00,00:00:00,5,5,1.0,79.9,102.2,23,4,0,7,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 02:00:00+00:00,2022-01-08,Lørdag,Januar,02:00:00,03:00:00,0,0,1.0,74.0,,2,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 07:00:00+00:00,2022-01-08,Lørdag,Januar,07:00:00,08:00:00,11,11,1.0,83.1,98.6,7,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 08:00:00+00:00,2022-01-08,Lørdag,Januar,08:00:00,09:00:00,14,14,1.0,97.3,121.2,8,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 09:00:00+00:00,2022-01-08,Lørdag,Januar,09:00:00,10:00:00,21,21,1.0,73.3,82.0,9,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 10:00:00+00:00,2022-01-08,Lørdag,Januar,10:00:00,11:00:00,21,21,1.0,76.9,85.5,10,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 11:00:00+00:00,2022-01-08,Lørdag,Januar,11:00:00,12:00:00,34,34,1.0,79.3,88.4,11,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 12:00:00+00:00,2022-01-08,Lørdag,Januar,12:00:00,13:00:00,23,23,1.0,71.2,82.8,12,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 13:00:00+00:00,2022-01-08,Lørdag,Januar,13:00:00,14:00:00,35,35,1.0,75.3,88.4,13,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 14:00:00+00:00,2022-01-08,Lørdag,Januar,14:00:00,15:00:00,30,30,1.0,73.4,80.1,14,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 15:00:00+00:00,2022-01-08,Lørdag,Januar,15:00:00,16:00:00,37,37,1.0,75.7,85.5,15,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 16:00:00+00:00,2022-01-08,Lørdag,Januar,16:00:00,17:00:00,30,30,1.0,80.5,91.6,16,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 17:00:00+00:00,2022-01-08,Lørdag,Januar,17:00:00,18:00:00,32,32,1.0,76.0,82.7,17,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 18:00:00+00:00,2022-01-08,Lørdag,Januar,18:00:00,19:00:00,14,14,1.0,82.4,96.0,18,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 19:00:00+00:00,2022-01-08,Lørdag,Januar,19:00:00,20:00:00,9,9,1.0,86.2,96.1,19,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 20:00:00+00:00,2022-01-08,Lørdag,Januar,20:00:00,21:00:00,7,7,1.0,86.9,102.3,20,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-08 21:00:00+00:00,2022-01-08,Lørdag,Januar,21:00:00,22:00:00,6,6,1.0,64.4,78.3,21,5,1,8,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 00:00:00+00:00,2022-01-09,Søndag,Januar,00:00:00,01:00:00,6,6,1.0,82.5,95.8,0,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 01:00:00+00:00,2022-01-09,Søndag,Januar,01:00:00,02:00:00,0,0,1.0,74.0,,1,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 04:00:00+00:00,2022-01-09,Søndag,Januar,04:00:00,05:00:00,0,0,1.0,74.0,,4,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 09:00:00+00:00,2022-01-09,Søndag,Januar,09:00:00,10:00:00,11,11,1.0,83.1,88.0,9,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 10:00:00+00:00,2022-01-09,Søndag,Januar,10:00:00,11:00:00,15,15,1.0,72.6,80.1,10,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 11:00:00+00:00,2022-01-09,Søndag,Januar,11:00:00,12:00:00,26,26,1.0,77.4,93.6,11,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 12:00:00+00:00,2022-01-09,Søndag,Januar,12:00:00,13:00:00,39,39,1.0,78.0,88.4,12,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 13:00:00+00:00,2022-01-09,Søndag,Januar,13:00:00,14:00:00,43,43,1.0,74.9,85.5,13,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 14:00:00+00:00,2022-01-09,Søndag,Januar,14:00:00,15:00:00,61,61,1.0,75.6,80.1,14,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 15:00:00+00:00,2022-01-09,Søndag,Januar,15:00:00,16:00:00,62,62,1.0,77.1,85.5,15,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 16:00:00+00:00,2022-01-09,Søndag,Januar,16:00:00,17:00:00,53,53,1.0,79.1,90.2,16,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 17:00:00+00:00,2022-01-09,Søndag,Januar,17:00:00,18:00:00,49,49,1.0,75.2,82.7,17,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 18:00:00+00:00,2022-01-09,Søndag,Januar,18:00:00,19:00:00,50,50,1.0,76.9,88.4,18,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 19:00:00+00:00,2022-01-09,Søndag,Januar,19:00:00,20:00:00,32,32,1.0,77.5,94.9,19,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 20:00:00+00:00,2022-01-09,Søndag,Januar,20:00:00,21:00:00,25,25,1.0,83.0,93.3,20,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 21:00:00+00:00,2022-01-09,Søndag,Januar,21:00:00,22:00:00,20,20,1.0,84.0,94.9,21,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 22:00:00+00:00,2022-01-09,Søndag,Januar,22:00:00,23:00:00,6,6,1.0,83.6,94.9,22,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-09 23:00:00+00:00,2022-01-09,Søndag,Januar,23:00:00,00:00:00,5,5,1.0,71.0,74.9,23,6,1,9,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 02:00:00+00:00,2022-01-10,Mandag,Januar,02:00:00,03:00:00,0,0,1.0,74.0,,2,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 03:00:00+00:00,2022-01-10,Mandag,Januar,03:00:00,04:00:00,0,0,1.0,74.0,,3,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 05:00:00+00:00,2022-01-10,Mandag,Januar,05:00:00,06:00:00,5,5,1.0,88.7,109.5,5,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 06:00:00+00:00,2022-01-10,Mandag,Januar,06:00:00,07:00:00,15,15,1.0,84.0,94.9,6,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 07:00:00+00:00,2022-01-10,Mandag,Januar,07:00:00,08:00:00,20,20,1.0,85.7,94.9,7,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 08:00:00+00:00,2022-01-10,Mandag,Januar,08:00:00,09:00:00,26,26,1.0,79.5,85.5,8,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 09:00:00+00:00,2022-01-10,Mandag,Januar,09:00:00,10:00:00,33,33,1.0,77.5,87.1,9,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 10:00:00+00:00,2022-01-10,Mandag,Januar,10:00:00,11:00:00,46,46,1.0,73.1,80.7,10,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 11:00:00+00:00,2022-01-10,Mandag,Januar,11:00:00,12:00:00,34,34,1.0,77.5,85.0,11,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 12:00:00+00:00,2022-01-10,Mandag,Januar,12:00:00,13:00:00,44,44,1.0,73.1,82.4,12,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 13:00:00+00:00,2022-01-10,Mandag,Januar,13:00:00,14:00:00,46,46,1.0,72.6,81.7,13,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 14:00:00+00:00,2022-01-10,Mandag,Januar,14:00:00,15:00:00,45,44,1.0,73.5,82.7,14,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 15:00:00+00:00,2022-01-10,Mandag,Januar,15:00:00,16:00:00,50,50,1.0,76.3,85.5,15,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 16:00:00+00:00,2022-01-10,Mandag,Januar,16:00:00,17:00:00,44,44,1.0,76.1,88.1,16,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 17:00:00+00:00,2022-01-10,Mandag,Januar,17:00:00,18:00:00,39,39,1.0,73.1,80.1,17,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 18:00:00+00:00,2022-01-10,Mandag,Januar,18:00:00,19:00:00,34,34,1.0,73.8,81.1,18,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 19:00:00+00:00,2022-01-10,Mandag,Januar,19:00:00,20:00:00,26,26,1.0,79.0,91.6,19,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 20:00:00+00:00,2022-01-10,Mandag,Januar,20:00:00,21:00:00,25,25,1.0,72.9,84.8,20,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 21:00:00+00:00,2022-01-10,Mandag,Januar,21:00:00,22:00:00,10,10,1.0,73.8,85.5,21,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 22:00:00+00:00,2022-01-10,Mandag,Januar,22:00:00,23:00:00,10,10,1.0,82.8,91.6,22,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-10 23:00:00+00:00,2022-01-10,Mandag,Januar,23:00:00,00:00:00,9,9,1.0,87.3,93.5,23,0,0,10,1,Winter
65182V384013,EV16 S16D1 m5470,GUDVANGATUNNELEN,1,2022-01-11 00:00:00+00:00,2022-01-11,Tirsdag,Januar,00:00:00,01:00:00,7,7,1.0,79.6,89.8,0,1,0,11,1,Winter
